 %1$S フォル	verboseFolderFormat, comp not found	%2$S の %1$S フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10488
 (マ	fk, comp not found	フォークランド (マルビナス) 諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4639
パース	PEParseRuleWSOnly, comp found	空白だけの文字列がパース対象ルールに指定されています。	(n) (1) pass/(2) purse/handbag/(3) (abbr) perspective/(P)/	パース	no comment	パース [パース] (n) (1) pass/(2) purse/handbag/(3) (abbr) perspective/(P)/<br>	firefox word found	1581
パーセント	PEExpectedPercent, comp found	パーセント指定であるべきところが '%1$S' になっています。	(n) percent/percentage/(P)/	パーセント	no comment	パーセント [パーセント] (n) percent/percentage/(P)/<br>	firefox word found	2055
パーセント指定であるべきところが '%1$S' になっています。	PEExpectedPercent	self	Expected a percentage but found '%1$S'.	phrase, no reading now	no comment	居間 [いま] (n) living room (western style)/(P)/<br>今 [いま] (n-adv,n) now/the present time/just now/soon/immediately/(one) more/(P)/<br>	firefox phrase	2062
パーソナル	unknownSocketType, comp found	このページを表示するにはパーソナルセキュリティマネージャ (PSM) が必要です。PSM をインストールしてから再度試すか、システム管理者に問い合わせてください。	(adj-na,n) personal/(P)/	パーソナル	no comment	パーソナル [パーソナル] (adj-na,n) personal/(P)/<br>	firefox word found	949
パーリ語	pi	self	Pali	phrase, no reading now	no comment	パー [パー] (n) (1) par/common score for some activity (e.g. strokes for a hole in golf)/(2) paper (in rock-paper-scissors game)/(3) apiece/each/(4) price-earnings ratio/(5) (abbr) percent/(P)/<br>	firefox phrase	3297
ヒンディー	hi, comp found	ヒンディー語	(n) Hindi/	ヒンディー	no comment	ヒンディー [ヒンディー] (n) Hindi/<br>	firefox word found	3137
ヒンディー語	x-mac-devanagari.title, comp found	ヒンディー語 (MacDevanagari)	(n) Hindi/	ヒンディーご	no comment	ヒンディー語 [ヒンディーご] (n) Hindi/<br>	firefox word found	1392
ヒンディー語 (MacDevanagari)	x-mac-devanagari.title	self	Hindi (MacDevanagari)	phrase, no reading now	no comment	ヒンディー語 [ヒンディーご] (n) Hindi/<br>	firefox phrase	1393
ヒンディー語 (SunDevanagari)	x-sun-unicode-india-0.title	self	Hindi (SunDevanagari)	phrase, no reading now	no comment	ヒンディー語 [ヒンディーご] (n) Hindi/<br>	firefox phrase	1402
ビア	hsb, comp found	北ソルビア語	(n) beer (dut: bier)/(P)/	ビア	no comment	ビア [ビア] (n) beer (dut: bier)/(P)/<br>	firefox word found	3145
ビサ	gw, comp not found	ギニアビサウ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4695
ビス	bi, comp found	ビスラマ語	(n) (1) screw (fre: vis)/(2) -bis (again, second version) (fre: bis)/(3) Bank of International Settlements/BIS/(P)/	ビス	no comment	ビス [ビス] (n) (1) screw (fre: vis)/(2) -bis (again, second version) (fre: bis)/(3) Bank of International Settlements/BIS/(P)/<br>	firefox word found	3042
ビスラマ語	bi	self	Bislama	phrase, no reading now	no comment	ラマ [ラマ] (n) lama (tib: bla-ma)/<br>ラマ [ラマ] (n) llama (Lama glama) (spa:)/(P)/<br>	firefox phrase	3044
ビット	colonInHeaderName, comp found	入力されたヘッダには不正な文字が含まれています。 ':'、印刷不可能な文字、非 ASCII 文字、8 ビット ASCII 文字などは使用できません。これらの不正な文字を削除してから再度実行してください。	(n) (comp) bit/(P)/	ビット	no comment	ビット [ビット] (n) (comp) bit/(P)/<br>	firefox word found	7870
ビハール語	bh	self	Bihari	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3041
ビュ	Preview, comp not found	プレビュー	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	130
ビューア	classViewerOS2, comp found	クラス %S のビューアー	(n) (comp) viewer/	ビューア	no comment	ビューア [ビューア] (n) (comp) viewer/<br>	firefox word found	15450
ビルド	incompatiblePlatformMessage, comp found	%S は現在使用している %S のビルド種別 (%S) とプラットフォーム互換性がないため、インストールできませんでした。この問題について作者に問い合わせてください。	(n) (comp) build/	ビルド	no comment	ビルド [ビルド] (n) (comp) build/<br>	firefox word found	15748
ビルマ	my, comp found	ビルマ語	(n) Burma/	ビルマ	no comment	ビルマ [ビルマ] (n) Burma/<br>	firefox word found	3250
ビルマ語	my	self	Burmese	phrase, no reading now	no comment	ビルマ [ビルマ] (n) Burma/<br>	firefox phrase	3251
ビン	vc, comp not found	セントビンセント グレナディーン諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	5022
ビー	mz, comp found	モザンビーク	(n) bee/	ビー	no comment	ビー [ビー] (n) bee/<br>	firefox word found	4842
ピア	ik, comp found	イヌピアック語	(n) (comp) peer/	ピア	no comment	ピア [ピア] (n) (comp) peer/<br>	firefox word found	3165
ピジン	ho, comp found	ピジン語	(n) pidgin/	ピジン	no comment	ピジン [ピジン] (n) pidgin/<br>	firefox word found	3139
ピジン語	ho	self	Hiri Motu	phrase, no reading now	no comment	ピジン [ピジン] (n) pidgin/<br>	firefox phrase	3140
ピトケアン	pn	self	Pitcairn	phrase, no reading now	no comment	ケア [ケア] (n,vs) (1) care/(n) (2) kea (Nestor notabilis)/(P)/<br>	firefox phrase	4893
ピュ	vo, comp not found	ヴォラピューク語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3405
ピリオド	hostname_syntax.error, comp found	ホスト名が入力されていないか無効な文字が含まれています。半角英数字と "-" (ハイフン)、"." (ピリオド) のみが使用可能です。	(n) (1) period/dot character/(2) period (era, amount of time)/(3) period (sports)/(P)/	ピリオド	no comment	ピリオド [ピリオド] (n) (1) period/dot character/(2) period (era, amount of time)/(3) period (sports)/(P)/<br>	firefox word found	6471
ファ	aa, comp found	アファル語	(n) fa/fah/4th note in the tonic solfa representation of the diatonic scale/	ファ	no comment	ファ [ファ] (n) fa/fah/4th note in the tonic solfa representation of the diatonic scale/<br>	firefox word found	3006
ファイ	allTitle, comp found	すべてのファイル	choose manually from edict	choose manually from edict	no comment	Φ [ファイ] (n) phi/<br>φ [ファイ] (n) phi/<br>	firefox word found	2663
ファイアウォール	emptyAttachment, comp found	この添付ファイルは空です。\nメッセージの送信者に確認してください。\n内容によってはファイアウォールやウイルス対策ソフトが添付ファイルを壊すことがあります。	(n) (comp) firewall/(P)/	ファイアウォール	no comment	ファイアウォール [ファイアウォール] (n) (comp) firewall/(P)/<br>	firefox word found	10883
ファイル	OpenHTMLFile, comp found	HTML ファイルを開く	(n,vs) file/(P)/	ファイル	no comment	ファイル [ファイル] (n,vs) file/(P)/<br>	firefox word found	109
ファイル %P0% を開けませんでした。	12500	self	Unable to open the file %P0%.	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	11348
ファイル %S が見つかりません。ファイルの場所を再確認してください。	fileNotFound	self	The file %S cannot be found. Please check the location and try again.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	847
ファイル %S は存在しません。	errorOpenFileDoesntExistMessage	self	File %S doesn't exist	phrase, no reading now	no comment	仙 [せん] (n) hermit/wizard/<br>先 [せん] (n,adj-no) the future/priority/precedence/former/previous/old/late/<br>千 [せん] (num) 1,000/thousand/(P)/<br>戦 [せん] (suf) match/competition/<br>撰 [せん] (n) anthology (of poetry, etc.)/selection/compilation/<br>栓 [せん] (n) stopper/cork/stopcock/(P)/<br>煎 [せん] (n) broil/parch/roast/fire (tea)/boil down (in oil)/<br>線 [せん] (n,n-suf) line (also telephone, railway)/wire/beam/(P)/<br>繊 [せん] (n) (1) (abbr) daikon julienne/julienned daikon/(2) one ten-millionth/<br>腺 [せん] (n,n-suf) gland/<br>選 [せん] (n) (1) selection/choice/election/(2) compilation/editing/(P)/<br>銭 [せん] (n) (1) hundredth of a yen/(2) coin made of non-precious materials/(3) (obs) one-thousandth of a kan (as a unit of currency)/(4) (arch) one-thousandth of a kan (as a unit of mass)/(P)/<br>仟 [せん] (num) thousand (used in legal documents)/<br>倩 [せん] (adv) (uk) carefully/attentively/profoundly/deeply/at length/<br>箋 [せん] (n) (1) slip (of paper)/(2) tag (usu. bamboo, wood, ivory, etc.)/label/<br>籤 [せん] (n) (1) slip (of paper)/(2) tag (usu. bamboo, wood, ivory, etc.)/label/<br>賤 [せん] (n) (1) (arch) lowly person/lowliness/<br>阡 [せん] (num) thousand (used in legal documents)/<br>	firefox phrase	2709
ファイル %S は書き込みできません。	saveWithoutPermissionMessage_file	self	File %S is not writable.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	2752
ファイル %S は読み込み不可です。	openWithoutPermissionMessage_file	self	File %S is not readable	phrase, no reading now	no comment	です [です] (aux) (pol) polite copula in Japanese/(P)/<br>	firefox phrase	2728
ファイル:	DirFileLabel	self	File:	phrase, no reading now	no comment	ファイル [ファイル] (n,vs) file/(P)/<br>	firefox phrase	17417
ファイルがありません	missingFileTitle	self	Missing File	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	15814
ファイルがロックされています	writeFileIsLocked	self	File is locked	phrase, no reading now	no comment	てい [てい] (n) Di (ancient Chinese ethnic group)/<br>	firefox phrase	19482
ファイルが空です	fileEmptyTitle	self	File Empty	phrase, no reading now	no comment	空で [そらで] (exp) (1) off the top of one's head/from thin air/(2) from memory/<br>	firefox phrase	11234
ファイルが見つかりません	fileNotFoundTitle	self	File Not Found	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	11226
ファイルにアクセスできなかったため、アドレス帳をエクスポートできませんでした。	failedToExportMessageFileAccessDenied	self	Failed to export addressbook, file access denied.	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	7040
ファイルのアップロード	FileUpload	self	File Upload	phrase, no reading now	no comment	ロー [ロー] (n) (1) law/(2) low/(3) row/(4) raw (device, file, etc.)/(P)/<br>	firefox phrase	3431
ファイルのコピー: %s から %s へ	CopyFile	self	Copy File: %s to %s	phrase, no reading now	no comment	から [から] (prt) (1) from (e.g. time, place, numerical quantity)/since/(2) from (originator)/(3) because/(4) out of (constituent, part)/(5) through (e.g. window, vestibule)/(6) after/since (following te-form verb)/(P)/<br>	firefox phrase	5512
ファイルのハッシュが正しくありません (ダウンロードに失敗した可能性があります)	error-261	self	Invalid file hash (possible download corruption)	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	5729
ファイルのハッシュタイプが不明または不正です	error-262	self	Unknown or invalid file hash type	phrase, no reading now	no comment	不正 [ふせい] (adj-na,n) injustice/unfairness/iniquity/impropriety/irregularity/dishonesty/illegality/fraud/(P)/<br>	firefox phrase	5736
ファイルの実行: %s	ExecuteFile	self	Execute File: %s	phrase, no reading now	no comment	実行 [じっこう] (n,vs) practice/practise/performance/execution (e.g. program) (programme)/realization/realisation/implementation/(P)/<br>	firefox phrase	5515
ファイルの移動: %s から %s へ	MoveFile	self	Move File: %s to %s	phrase, no reading now	no comment	から [から] (prt) (1) from (e.g. time, place, numerical quantity)/since/(2) from (originator)/(3) because/(4) out of (constituent, part)/(5) through (e.g. window, vestibule)/(6) after/since (following te-form verb)/(P)/<br>	firefox phrase	5525
ファイルの種類	description_label	self	Description	phrase, no reading now	no comment	種 [しゅ] (n,n-suf) (1) kind/variety/(2) (biological) species/(3) (abbr) (logical) species/<br>種 [たね] (n) (1) seed/pip/kind/variety/quality/tone/(2) material/matter/subject/theme/(news) copy/leaven (bread)/(3) cause/source/trick/secret/inside story/(P)/<br>	firefox phrase	3974
ファイルへ印刷する	PrintToFile	self	Print To File	phrase, no reading now	no comment	印刷 [いんさつ] (n,vs) printing/(P)/<br>	firefox phrase	4441
ファイルもすべて削除	deleteFiles	self	Delete Files	phrase, no reading now	no comment	削 [さく] (n) plane/sharpen/whittle/pare/shave (leather)/scrape off/crossout/reduce/curtail/<br>	firefox phrase	16553
ファイルをインストールしています: %s	InstallFile	self	Installing: %s	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	5462
ファイルをデコードできませんでした。ファイルが PKCS #12 形式ではないか、破損しているか、あるいは入力されたパスワードが間違っています。	PKCS12DecodeErr	self	Failed to decode the file.  Either it is not in PKCS #12 format, has been corrupted, or the password you entered was incorrect.	phrase, no reading now	no comment	居間 [いま] (n) living room (western style)/(P)/<br>今 [いま] (n-adv,n) now/the present time/just now/soon/immediately/(one) more/(P)/<br>	firefox phrase	17750
ファイルを作成できません。ディレクトリ %S への書き込みができません。	saveWithoutPermissionMessage_dir	self	Cannot create file. Directory %S is not writable.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	2761
ファイルを保存	unknownAccept.label	self	Save File	phrase, no reading now	no comment	ファイル [ファイル] (n,vs) file/(P)/<br>	firefox phrase	15441
ファイルを保存する	saveFile	self	Save File	phrase, no reading now	no comment	保存 [ほぞん] (n,vs) preservation/conservation/storage/saving (e.g., to disk)/maintenance/(P)/<br>	firefox phrase	13242
ファイルを保存する権限がありません	badPermissions.title	self	Invalid Save Permissions	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	15432
ファイルを削除しています: %s	DeleteFile	self	Deleting file: %s	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	5494
ファイルを実行しています: %s 引数: %s	ExecuteFileWithArgs	self	Execute File: %s with argument: %s	phrase, no reading now	no comment	引数 [いんすう] (n) (comp) argument (e.g. function, program, programme)/<br>引数 [ひきすう] (n) (comp) argument (e.g. function, program, programme)/<br>	firefox phrase	5521
ファイルを正常に保存できませんでした。	SaveFileFailed	self	Saving file failed!	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	250
ファイルを置き換えています: %s	ReplaceFile	self	Replacing: %s	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	5473
ファイルを選択	choosefile	self	Choose a file	phrase, no reading now	no comment	選 [せん] (n) (1) selection/choice/election/(2) compilation/editing/(P)/<br>	firefox phrase	13688
ファイルを開けませんでした。	subscribe-errorOpeningFile	self	Could not open the file.	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	14358
ファイルエラー	writeFileFailure	self	File Error	phrase, no reading now	no comment	ファイル [ファイル] (n,vs) file/(P)/<br>	firefox phrase	19468
ファイルシステム	4006, comp found	メールボックスにメールを書き込めませんでした。ファイルシステムに書き込み権限があるか、ディスクに十分な空き容量があるか確認してください。	(n) (comp) file system/	ファイルシステム	no comment	ファイルシステム [ファイルシステム] (n) (comp) file system/<br>	firefox word found	9605
ファイル名	NameTooLong, comp found	ファイル名かサブディレクトリ名が長すぎます。	(n) (comp) file-name/	ファイルめい	no comment	ファイル名 [ファイルめい] (n) (comp) file-name/<br>	firefox word found	317
ファイル名:	filename_label	self	File name:	phrase, no reading now	no comment	ファイル名 [ファイルめい] (n) (comp) file-name/<br>	firefox phrase	3969
ファイル名かサブディレクトリ名が長すぎます。	NameTooLong	self	The filename or subdirectory name is too long.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	323
ファイル名がありません	noPrintFilename.title	self	Filename is missing	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	4002
ファイル名が長すぎるため %S を保存できませんでした。\n\n短い名前で保存してください。	fileNameTooLongError	self	%S could not be saved, because the file name was too long.\n\nTry saving with a shorter file name.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	3939
ファイル名の変更: %s から %s へ	RenameFile	self	Rename File: %s to %s	phrase, no reading now	no comment	から [から] (prt) (1) from (e.g. time, place, numerical quantity)/since/(2) from (originator)/(3) because/(4) out of (constituent, part)/(5) through (e.g. window, vestibule)/(6) after/since (following te-form verb)/(P)/<br>	firefox phrase	5529
ファイル形式	saveAsLabel, comp found	保存ファイル形式:	(n) (comp) file format/	ファイルけいしき	no comment	ファイル形式 [ファイルけいしき] (n) (comp) file format/<br>	firefox word found	2699
ファイル操作コマンドが不明です。	UnknownFileOpCommand	self	Unknown file operation command!	phrase, no reading now	no comment	です [です] (aux) (pol) polite copula in Japanese/(P)/<br>	firefox phrase	5553
ファイル読み込み中にエラーが発生しました。	12563	self	Error reading file.	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	11795
ファー	kn, comp found	セントクリストファー ネイビス	(n) (1) fur/(2) far/(P)/	ファー	no comment	ファー [ファー] (n) (1) fur/(2) far/(P)/<br>	firefox word found	4758
ファームウェア	devinfo_fwversion, comp found	ファームウェアバージョン	(n) (comp) firmware/	ファームウェア	no comment	ファームウェア [ファームウェア] (n) (comp) firmware/<br>	firefox word found	19257
ファームウェアバージョン	devinfo_fwversion	self	FW Version	phrase, no reading now	no comment	バージ [バージ] (n) (comp) ViRGE/<br>	firefox phrase	19259
フィジ	fj, comp not found	フィジー	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4634
フィジー	fj, comp found	フィジー語	(n,adj-no) Fiji/	フィジー	no comment	フィジー [フィジー] (n,adj-no) Fiji/<br>	firefox word found	3106
フィジー語	fj	self	Fijian	phrase, no reading now	no comment	フィジー [フィジー] (n,adj-no) Fiji/<br>	firefox phrase	3107
フィッシング詐欺	phishingBlocked, comp found	%S の Web サイトは利用者の個人情報やクレジットカード番号などを盗み取る目的で作られた、偽装サイト(フィッシング詐欺サイト)であると報告されています。	(n) phishing/	フィッシングさぎ	no comment	フィッシング詐欺 [フィッシングさぎ] (n) phishing/<br>	firefox word found	1162
フィリピ	ph, comp not found	フィリピン	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4881
フィリピン	ph	self	Philippines	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4882
フィル	junkScoreOriginFilter, comp found	フィルタ	(n) fill/(P)/	フィル	no comment	フィル [フィル] (n) fill/(P)/<br>	firefox word found	10735
フィルタ	10021, comp found	検索フィルタが正しいか確認してからもう一度試すか、システム管理者に問い合わせてください。現在の検索フィルタ設定を確認するには、[編集] メニューの [設定] から [メールとニュースグループ]、[アドレス帳] を順に選択し、[ディレクトリを編集] をクリックして一覧から使用する LDAP サーバを選択してください。 [編集] をクリックして [詳細] タブを開くと検索フィルタが表示されます。	(n) filter (esp. camera)/	フィルタ	no comment	フィルタ [フィルタ] (n) filter (esp. camera)/<br>	firefox word found	7179
フィルタ %S の評価に失敗しました。フィルタの評価を続けますか？	continueFilterExecution	self	Applying filter %S failed. Would you like to continue applying filters?	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	8210
フィルタの名前を入力してください。	mustEnterName	self	You must give this filter a name.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	8085
フィルタの定義ファイル msgFilterRules.dat が壊れています。古い定義ファイルの名前を rulesbackup.dat に変更し、新しいフィルタ定義ファイルを作成します。	filterListBackUpMsg	self	Your filters do not work because the msgFilterRules.dat file, which contains your filters, could not be read. A new msgFilterRules.dat file will be created and a backup of the old file, called rulesbackup.dat, will be created in the same directory.	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	8136
フィルタインポートモジュールを読み込めませんでした。	ImportFiltersBadModule	self	Unable to load filters import module.	phrase, no reading now	no comment	弟子 [でし] (n,adj-no) pupil/disciple/adherent/follower/apprentice/young person/teacher's student-helper/(P)/<br>	firefox phrase	9445
フィルタリング	filterFolderTruncateFailed, comp found	%1$S フォルダのメッセージをフィルタリングした後、受信トレイの整理中にエラーが発生しました。%2$S を終了して INBOX.msf を削除する必要があります。	(n) filtering/	フィルタリング	no comment	フィルタリング [フィルタリング] (n) filtering/<br>	firefox word found	10492
フィルタ処理をしています	promptTitle	self	Running Filters	phrase, no reading now	no comment	使丁 [してい] (n) servant/janitor/messenger/<br>姉弟 [してい] (n) older sister and younger brother/<br>子弟 [してい] (n) young(er) people/(P)/<br>師弟 [してい] (n) teacher and student/(P)/<br>指定 [してい] (n,vs) designation/specification/assignment/appointment/pointing at/(P)/<br>私邸 [してい] (n) private residence/(P)/<br>	firefox phrase	8214
フィルタ名なし	untitledFilterName	self	Untitled Filter	phrase, no reading now	no comment	名 [な] (n) name/reputation/(P)/<br>名 [めい] (ctr) (1) (hon) counter for people (usu. seating, reservations and such)/(n) (2) first name/(pref) (3) famous/great/<br>	firefox phrase	8115
フィルタ名の重複	cannotHaveDuplicateFilterTitle	self	Duplicate Filter Name	phrase, no reading now	no comment	重 [え] (suf) -fold/-ply/<br>重 [おも] (adj-na,n) (1) chief/main/principal/important/(2) (abbr) main secondary or supporting role (in kyogen)/<br>重 [じゅう] (pref) greater degree/heavy/serious/<br>	firefox phrase	8089
フィルタ定義のカスタムヘッダが 50 を超えています。フィルタ定義ファイル msgFilterRules.dat を修正して、カスタムヘッダの数を減らしてください。	filterCustomHeaderOverflow	self	Your filters have exceeded the limit of 50 custom headers. Please edit the msgFilterRules.dat file, which contains your filters, to use fewer custom headers.	phrase, no reading now	no comment	差異 [さい] (n) difference/disparity/(P)/<br>差違 [さい] (n) difference/<br>債 [さい] (n,n-suf) debt/loan/(P)/<br>再 [さい] (pref) re-/again/repeated/(P)/<br>最 [さい] (pref,adj-na) (1) the most/the extreme/(adj-t,adv-to) (2) prime/conspicuous/<br>才 [さい] (suf) (1) -years-old/(2) ability/gift/talent/aptitude/genius/(P)/<br>歳 [さい] (suf) (1) -years-old/(P)/<br>采 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>犀 [さい] (n) rhinoceros/<br>細 [さい] (n) detail/details/<br>菜 [さい] (n) side dish/<br>裁 [さい] (n-suf) judge/<br>載 [さい] (n) 10^44/<br>際 [さい] (n-adv,n) on the occasion of/circumstances/(P)/<br>賽 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>釵 [さい] (n) (MA) sai (an Okinawan weapon)/<br>	firefox phrase	8172
フィン	fi, comp found	フィンランド	(n) fin/(P)/	フィン	no comment	フィン [フィン] (n) fin/(P)/<br>	firefox word found	4631
フィンランド	fi, comp found	フィンランド語	(n) (uk) Finland/(P)/	フィンランド	no comment	フィンランド [フィンランド] (n) (uk) Finland/(P)/<br>	firefox word found	3104
フィンランド語	fi	self	Finnish	phrase, no reading now	no comment	フィンランド [フィンランド] (n) (uk) Finland/(P)/<br>	firefox phrase	3105
フィー	newsblog-feedNotValidTitle, comp found	無効なフィード	choose manually from edict	choose manually from edict	no comment	Φ [フィー] (n) phi/<br>φ [フィー] (n) phi/<br>	firefox word found	14424
フィード	feedDialogText, comp found	%S を既定のフィードリーダーとして使用しますか？	(n) feed/	フィード	no comment	フィード [フィード] (n) feed/<br>	firefox word found	14150
フィードの受信...	subscribe-cancelSubscriptionTitle	self	Subscribing to a Feed…	phrase, no reading now	no comment	受信 [じゅしん] (n,vs,adj-no) reception (e.g. radio)/receipt/(P)/<br>	firefox phrase	14342
フィードの記事をダウンロードしています (%S / %S)...	subscribe-gettingFeedItems	self	Downloading feed articles (%S of %S)…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	14401
フィードの設定	prefPanel-newsblog	self	Feed Settings	phrase, no reading now	no comment	フィード [フィード] (n) feed/<br>	firefox phrase	14326
フィードを削除	subscribe-confirmFeedDeletionTitle	self	Remove Feed	phrase, no reading now	no comment	削 [さく] (n) plane/sharpen/whittle/pare/shave (leather)/scrape off/crossout/reduce/curtail/<br>	firefox phrase	14387
フィードを確認しています...	subscribe-validating-feed	self	Verifying the feed…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	14331
フィードリストを OPML ファイルとしてエクスポート	subscribe-OPMLExportTitle	self	Export feeds as an OPML file	phrase, no reading now	no comment	エクスポ [エクスポ] (n) expo/(international) exposition/<br>	firefox phrase	14371
フィールド	FieldSet, comp found	フィールドセット	(n) field/(P)/	フィールド	no comment	フィールド [フィールド] (n) field/(P)/<br>	firefox word found	645
フィールドセット	FieldSet	self	Field Set	phrase, no reading now	no comment	フィールド [フィールド] (n) field/(P)/<br>	firefox phrase	647
フェ	fo, comp not found	フェーロー語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3109
フェロー諸島	fo	self	Faroe Islands	phrase, no reading now	no comment	諸 [しょ] (pref) various/many/several/(P)/<br>	firefox phrase	4647
フェーロー語	fo	self	Faroese	phrase, no reading now	no comment	ロー [ロー] (n) (1) law/(2) low/(3) row/(4) raw (device, file, etc.)/(P)/<br>	firefox phrase	3110
フォル	gloda.message.attr.folder.facetNameLabel, comp not found	フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	8384
フォルダ	readOnly, comp found	ディスク、フォルダまたはファイルが書き込み禁止になっているため %S を保存できませんでした。\n\n書き込み可能にしてから再度試すか、別の場所に保存してください。	(n) folder/	フォルダ	no comment	フォルダ [フォルダ] (n) folder/<br>	firefox word found	3831
フォルダ...	newFolderMenuItem	self	Folder…	phrase, no reading now	no comment	フォルダ [フォルダ] (n) folder/<br>	firefox phrase	9964
